14054a5a0 : 0x14048f348  -> STRING "frag_grenade_mp"
14054a5a8 : 0x14048f358  -> STRING "semtex_mp"
14054a5b0 : 0x14048f368  -> STRING "throwingknife_mp"
14054a5b8 : 0x14048f380  -> STRING "bouncingbetty_mp"
14054a5c0 : 0x14048f398  -> STRING "claymore_mp"
14054a5c8 : 0x14048f3a4  -> STRING "c4_mp"
14054a5d0 : 0x14048f3b0  -> STRING "specialty_paint"
14054a5d8 : 0x14044e9a0  -> STRING "specialty_fastreload"
14054a5e0 : 0x14044ed38  -> STRING "specialty_blindeye"
14054a5e8 : 0x14044e9e0  -> STRING "specialty_longersprint"
14054a5f0 : 0x14044ed08  -> STRING "specialty_scavenger"
14054a5f8 : 0x14044eaf8  -> STRING "specialty_quickdraw"
14054a600 : 0x14048f3c0  -> STRING "_specialty_blastshield"
14054a608 : 0x14048f3d8  -> STRING "specialty_hardline"
14054a610 : 0x14044ed20  -> STRING "specialty_coldblooded"
14054a618 : 0x14044ea48  -> STRING "specialty_twoprimaries"
14054a620 : 0x14048f3f0  -> STRING "specialty_autospot"
14054a628 : 0x14044eb80  -> STRING "specialty_stalker"
14054a630 : 0x14044e9f8  -> STRING "specialty_detectexplosive"
14054a638 : 0x14044e980  
14054a640 : 0x14044ec70  -> STRING "specialty_quieter"
14054a648 : 0x0  
14054a650 : 0x14048f408  -> STRING "flash_grenade_mp"
14054a658 : 0x14048f420  -> STRING "concussion_grenade_mp"
14054a660 : 0x14048f438  -> STRING "specialty_scrambler"
14054a668 : 0x14048f450  -> STRING "emp_grenade_mp"
14054a670 : 0x14048f460  -> STRING "smoke_grenade_mp"
14054a678 : 0x14048f478  -> STRING "trophy_mp"
14054a680 : 0x14048f488  -> STRING "specialty_tacticalinsertion"
14054a688 : 0x14048f4a8  -> STRING "specialty_portable_radar"
14054a690 : 0x14048f4c4  
14054a698 : 0x14048f4c8  -> STRING "airdrop_assault"
14054a6a0 : 0x14048f4d8  
14054a6a8 : 0x14048f4e0  -> STRING "predator_missile"
14054a6b0 : 0x14048f4f8  -> STRING "airdrop_sentry_minigun"
14054a6b8 : 0x14048f510  -> STRING "precision_airstrike"
14054a6c0 : 0x140459e70  -> STRING "helicopter"
14054a6c8 : 0x14048f528  -> STRING "littlebird_flock"
14054a6d0 : 0x14048f540  -> STRING "littlebird_support"
14054a6d8 : 0x14048f558  -> STRING "remote_mortar"
14054a6e0 : 0x14048f568  -> STRING "airdrop_remote_tank"
14054a6e8 : 0x14048f57c  -> STRING "ac130"
14054a6f0 : 0x14048f588  -> STRING "helicopter_flares"
14054a6f8 : 0x14048f5a0  -> STRING "airdrop_juggernaut"
