825087d8 : 0x8202cb54  -> STRING "EV_WEAPON_SWITCH_STARTED"
825087dc : 0x8202cb40  -> STRING "EV_PULLBACK_WEAPON"
825087e0 : 0x8202cb30  -> STRING "EV_FIRE_WEAPON"
825087e4 : 0x8202cb18  -> STRING "EV_FIRE_WEAPON_LASTSHOT"
825087e8 : 0x8202cb04  -> STRING "EV_FIRE_RICOCHET"
825087ec : 0x8202caf0  -> STRING "EV_RECHAMBER_WEAPON"
825087f0 : 0x8202cae0  -> STRING "EV_EJECT_BRASS"
825087f4 : 0x8202cacc  -> STRING "EV_FIRE_WEAPON_LEFT"
825087f8 : 0x8202caac  -> STRING "EV_FIRE_WEAPON_LASTSHOT_LEFT"
825087fc : 0x8202ca98  -> STRING "EV_EJECT_BRASS_LEFT"
82508800 : 0x8202ca88  -> STRING "EV_MELEE_SWIPE"
82508804 : 0x8202ca78  -> STRING "EV_FIRE_MELEE"
82508808 : 0x8202ca68  -> STRING "EV_PREP_OFFHAND"
8250880c : 0x8202ca58  -> STRING "EV_USE_OFFHAND"
82508810 : 0x8202ca44  -> STRING "EV_SWITCH_OFFHAND"
82508814 : 0x8202ca34  -> STRING "EV_MELEE_HIT"
82508818 : 0x8202ca24  -> STRING "EV_MELEE_MISS"
8250881c : 0x8202ca14  -> STRING "EV_MELEE_BLOOD"
82508820 : 0x8202ca04  -> STRING "EV_FIRE_TURRET"
82508824 : 0x8202c9f4  -> STRING "EV_FIRE_SENTRY"
82508828 : 0x8202c9dc  -> STRING "EV_FIRE_QUADBARREL_1"
8250882c : 0x8202c9c4  -> STRING "EV_FIRE_QUADBARREL_2"
82508830 : 0x8202c9b0  -> STRING "EV_BULLET_TRACER"
82508834 : 0x8202c9a0  -> STRING "EV_BULLET_HIT"
82508838 : 0x8202c988  -> STRING "EV_BULLET_HIT_SHIELD"
8250883c : 0x8202c970  -> STRING "EV_BULLET_HIT_EXPLODE"
82508840 : 0x8202c954  -> STRING "EV_BULLET_HIT_CLIENT_SMALL"
82508844 : 0x8202c938  -> STRING "EV_BULLET_HIT_CLIENT_LARGE"
82508848 : 0x8202c918  -> STRING "EV_BULLET_HIT_CLIENT_EXPLODE"
8250884c : 0x8202c8fc  -> STRING "EV_BULLET_HIT_CLIENT_SHIELD"
82508850 : 0x8202c8dc  -> STRING "EV_BULLET_DESTROY_CLIENT_SHIELD"
82508854 : 0x8202c8bc  -> STRING "EV_EXPLOSIVE_IMPACT_ON_SHIELD"
82508858 : 0x8202c89c  -> STRING "EV_EXPLOSIVE_SPLASH_ON_SHIELD"
8250885c : 0x8202c888  -> STRING "EV_GRENADE_BOUNCE"
82508860 : 0x8202c874  -> STRING "EV_GRENADE_STICK"
82508864 : 0x8202c864  -> STRING "EV_GRENADE_REST"
82508868 : 0x8202c854  -> STRING "EV_GRENADE_ROLL"
8250886c : 0x8202c840  -> STRING "EV_GRENADE_EXPLODE"
82508870 : 0x8202c82c  -> STRING "EV_GRENADE_PICKUP"
82508874 : 0x8202c818  -> STRING "EV_GRENADE_LETGO"
82508878 : 0x8202c804  -> STRING "EV_ROCKET_EXPLODE"
8250887c : 0x8202c7e8  -> STRING "EV_ROCKET_EXPLODE_NOMARKS"
82508880 : 0x8202c7d0  -> STRING "EV_FLASHBANG_EXPLODE"
82508884 : 0x8202c7bc  -> STRING "EV_CUSTOM_EXPLODE"
82508888 : 0x8202c7a0  -> STRING "EV_CUSTOM_EXPLODE_NOMARKS"
8250888c : 0x8202c78c  -> STRING "EV_CHANGE_TO_DUD"
82508890 : 0x8202c77c  -> STRING "EV_DUD_EXPLODE"
82508894 : 0x8202c76c  -> STRING "EV_DUD_IMPACT"
82508898 : 0x8202c758  -> STRING "EV_TROPHY_EXPLODE"
8250889c : 0x8202c74c  -> STRING "EV_BULLET"
825088a0 : 0x8202c740  -> STRING "EV_PLAY_FX"
825088a4 : 0x8202c72c  -> STRING "EV_PLAY_FX_ON_TAG"
825088a8 : 0x8202c718  -> STRING "EV_STOP_FX_ON_TAG"
825088ac : 0x8202c6f8  -> STRING "EV_PLAY_FX_ON_TAG_FOR_CLIENTS"
825088b0 : 0x8202c6dc  -> STRING "EV_PHYS_EXPLOSION_SPHERE"
825088b4 : 0x8202c6c0  -> STRING "EV_PHYS_EXPLOSION_CYLINDER"
825088b8 : 0x8202c6a8  -> STRING "EV_PHYS_EXPLOSION_JOLT"
825088bc : 0x8202c698  -> STRING "EV_RADIUSDAMAGE"
825088c0 : 0x8202c688  -> STRING "EV_PHYS_JITTER"
825088c4 : 0x8202c678  -> STRING "EV_EARTHQUAKE"
825088c8 : 0x8202c664  -> STRING "EV_GRENADE_SUICIDE"
825088cc : 0x8202c658  -> STRING "EV_DETONATE"
825088d0 : 0x8202c644  -> STRING "EV_NIGHTVISION_WEAR"
825088d4 : 0x8202c62c  -> STRING "EV_NIGHTVISION_REMOVE"
825088d8 : 0x8202c614  -> STRING "EV_MISSILE_REMOTE_BOOST"
825088dc : 0x8202c5fc  -> STRING "EV_PLAY_RUMBLE_ON_ENT"
825088e0 : 0x8202c5e4  -> STRING "EV_PLAY_RUMBLE_ON_POS"
825088e4 : 0x8202c5c8  -> STRING "EV_PLAY_RUMBLELOOP_ON_ENT"
825088e8 : 0x8202c5ac  -> STRING "EV_PLAY_RUMBLELOOP_ON_POS"
825088ec : 0x8202c59c  -> STRING "EV_STOP_RUMBLE"
825088f0 : 0x8202c588  -> STRING "EV_STOP_ALL_RUMBLES"
825088f4 : 0x8202c56c  -> STRING "EV_NO_PRIMARY_GRENADE_HINT"
825088f8 : 0x8202c54c  -> STRING "EV_NO_SECONDARY_GRENADE_HINT"
825088fc : 0x8202c530  -> STRING "EV_TARGET_TOO_CLOSE_HINT"
82508900 : 0x8202c50c  -> STRING "EV_TARGET_NOT_ENOUGH_CLEARANCE_HINT"
82508904 : 0x8202c4f4  -> STRING "EV_LOCKON_REQUIRED_HINT"
82508908 : 0x8202c4dc  -> STRING "EV_VEHICLE_COLLISION"
8250890c : 0x8202c4c0  -> STRING "EV_VEHICLE_SUSPENSION_SOFT"
82508910 : 0x8202c4a4  -> STRING "EV_VEHICLE_SUSPENSION_HARD"
82508914 : 0x8202c490  -> STRING "EV_FOOTSTEP_SPRINT"
82508918 : 0x8202c480  -> STRING "EV_FOOTSTEP_RUN"
8250891c : 0x8202c46c  -> STRING "EV_FOOTSTEP_WALK"
82508920 : 0x8202c458  -> STRING "EV_FOOTSTEP_PRONE"
82508924 : 0x8202c450  -> STRING "EV_JUMP"
82508928 : 0x8202c43c  -> STRING "EV_LANDING_DEFAULT"
8250892c : 0x8202c42c  -> STRING "EV_LANDING_BARK"
82508930 : 0x8202c418  -> STRING "EV_LANDING_BRICK"
82508934 : 0x8202c404  -> STRING "EV_LANDING_CARPET"
82508938 : 0x8202c3f0  -> STRING "EV_LANDING_CLOTH"
8250893c : 0x8202c3dc  -> STRING "EV_LANDING_CONCRETE"
82508940 : 0x8202c3cc  -> STRING "EV_LANDING_DIRT"
82508944 : 0x8202c3b8  -> STRING "EV_LANDING_FLESH"
82508948 : 0x8202c3a4  -> STRING "EV_LANDING_FOLIAGE"
8250894c : 0x8202c390  -> STRING "EV_LANDING_GLASS"
82508950 : 0x8202c37c  -> STRING "EV_LANDING_GRASS"
82508954 : 0x8202c368  -> STRING "EV_LANDING_GRAVEL"
82508958 : 0x8202c358  -> STRING "EV_LANDING_ICE"
8250895c : 0x8202c344  -> STRING "EV_LANDING_METAL"
82508960 : 0x8202c334  -> STRING "EV_LANDING_MUD"
82508964 : 0x8202c320  -> STRING "EV_LANDING_PAPER"
82508968 : 0x8202c30c  -> STRING "EV_LANDING_PLASTER"
8250896c : 0x8202c2fc  -> STRING "EV_LANDING_ROCK"
82508970 : 0x8202c2ec  -> STRING "EV_LANDING_SAND"
82508974 : 0x8202c2dc  -> STRING "EV_LANDING_SNOW"
82508978 : 0x8202c2c8  -> STRING "EV_LANDING_WATER"
8250897c : 0x8202c2b8  -> STRING "EV_LANDING_WOOD"
82508980 : 0x8202c2a4  -> STRING "EV_LANDING_ASPHALT"
82508984 : 0x8202c290  -> STRING "EV_LANDING_CERAMIC"
82508988 : 0x8202c27c  -> STRING "EV_LANDING_PLASTIC"
8250898c : 0x8202c268  -> STRING "EV_LANDING_RUBBER"
82508990 : 0x8202c254  -> STRING "EV_LANDING_CUSHION"
82508994 : 0x8202c240  -> STRING "EV_LANDING_FRUIT"
82508998 : 0x8202c228  -> STRING "EV_LANDING_PAINTEDMETAL"
8250899c : 0x8202c210  -> STRING "EV_LANDING_RIOTSHIELD"
825089a0 : 0x8202c1fc  -> STRING "EV_LANDING_SLUSH"
825089a4 : 0x8202c1e4  -> STRING "EV_LANDING_PAIN_DEFAULT"
825089a8 : 0x8202c1cc  -> STRING "EV_LANDING_PAIN_BARK"
825089ac : 0x8202c1b4  -> STRING "EV_LANDING_PAIN_BRICK"
825089b0 : 0x8202c19c  -> STRING "EV_LANDING_PAIN_CARPET"
825089b4 : 0x8202c184  -> STRING "EV_LANDING_PAIN_CLOTH"
825089b8 : 0x8202c168  -> STRING "EV_LANDING_PAIN_CONCRETE"
825089bc : 0x8202c150  -> STRING "EV_LANDING_PAIN_DIRT"
825089c0 : 0x8202c138  -> STRING "EV_LANDING_PAIN_FLESH"
825089c4 : 0x8202c120  -> STRING "EV_LANDING_PAIN_FOLIAGE"
825089c8 : 0x8202c108  -> STRING "EV_LANDING_PAIN_GLASS"
825089cc : 0x8202c0f0  -> STRING "EV_LANDING_PAIN_GRASS"
825089d0 : 0x8202c0d8  -> STRING "EV_LANDING_PAIN_GRAVEL"
825089d4 : 0x8202c0c4  -> STRING "EV_LANDING_PAIN_ICE"
